id,MPD,MTD,0.15,0.3,0.6,1.18,2.36,4.75,9.5,13.2,16,19,Energy1,Energy2,Energy3,Energy4,Energy5,Energy6,Energy7,Energy8,Energy9,Entropy1,Entropy2,Entropy3,Entropy4,Entropy5,Entropy6,Entropy7,Entropy8,Entropy9,BPF,EPP,FCN,DBC-FD,FD,AR,e
10301,0.89563,0.89717,0.26863,0.53518,0.17983,0.011318,0.0037653,0.001167,0.0001101,0,0,0,2.36E+07,7.30E+07,1.01E+08,1.23E+08,1.33E+08,1.26E+08,1.20E+08,9.95E+07,2.09E+10,4.7123,5.7069,5.7822,5.7984,5.6657,5.7247,5.6093,5.5757,5.0965,67.009403,14.933066,6412,2.161408652,1.697831822,0.410202,1.16578138
10302,0.86236,0.86791,0.27483,0.53129,0.17783,0.010656,0.004422,0.00090597,6.47E-05,0,0,0,3.40E+07,8.85E+07,1.15E+08,1.32E+08,1.40E+08,1.40E+08,1.15E+08,8.85E+07,2.14E+10,5.1224,5.7527,5.7635,5.7904,5.7762,5.5001,5.6895,5.6377,4.7676,65.401478,15.814753,6880,2.137631476,1.651526672,0.406865,1.17431474
10303,0.82193,0.87558,0.27619,0.53437,0.17409,0.010386,0.0038735,0.0010216,4.26E-05,2.13E-05,0,0,2.66E+07,8.02E+07,1.10E+08,1.32E+08,1.46E+08,1.35E+08,1.18E+08,9.09E+07,2.32E+10,4.7829,5.6656,5.8433,5.7294,5.5065,5.3285,5.2867,5.6769,5.0698,66.354254,15.172765,6917,2.099449947,1.762639517,0.405529,1.16783547
10304,0.85506,0.92189,0.2742,0.53303,0.17695,0.010704,0.0039458,0.0011118,6.54E-05,0,0,0,3.48E+07,8.95E+07,1.18E+08,1.34E+08,1.47E+08,1.37E+08,1.13E+08,9.03E+07,2.28E+10,5.1059,5.8339,5.7944,5.8693,5.7275,5.4853,5.7036,5.4893,5.2928,66.010624,15.685634,7213,2.111125313,1.774095844,0.408541,1.16641653
10305,0.84113,0.90206,0.27143,0.53285,0.18061,0.010426,0.0036113,0.00098882,6.45E-05,2.15E-05,0,0,3.53E+07,8.92E+07,1.17E+08,1.37E+08,1.50E+08,1.40E+08,1.19E+08,8.24E+07,2.34E+10,4.9111,5.8555,5.8557,5.8471,5.7121,5.6909,5.5223,5.4546,5.016,66.217215,15.481968,6898,2.089689187,1.745332434,0.405482,1.16765594
10306,0.85963,0.93609,0.27053,0.53738,0.17621,0.010947,0.003721,0.0011899,2.16E-05,0,0,0,3.74E+07,9.28E+07,1.20E+08,1.39E+08,1.46E+08,1.41E+08,1.20E+08,9.38E+07,2.51E+10,5.0833,5.8115,5.7957,5.7625,5.6504,5.6719,5.4122,5.3022,5.0563,65.888631,15.678286,7035,2.039506004,1.666566919,0.408136,1.15565288
10307,1.0183,1.0648,0.27552,0.52983,0.17929,0.010572,0.0036828,0.0010399,6.50E-05,0,0,0,4.06E+07,9.35E+07,1.19E+08,1.38E+08,1.44E+08,1.47E+08,1.32E+08,9.86E+07,2.33E+10,4.9842,5.7517,5.6477,5.7292,5.7454,5.5211,5.5908,5.7435,5.0409,64.857075,15.511574,6713,2.10454407,1.763285118,0.408321,1.1690706
10308,0.91365,1.0664,0.28041,0.52834,0.17444,0.011041,0.0045986,0.001128,4.34E-05,0,0,0,4.19E+07,9.84E+07,1.25E+08,1.44E+08,1.52E+08,1.45E+08,1.20E+08,9.03E+07,2.60E+10,5.0477,5.816,5.7937,5.5861,5.7568,5.5537,5.5583,5.4537,4.9147,65.3035,15.480044,6821,2.045627777,1.67026496,0.408531,1.16160727
10309,1.0075,1.099,0.26836,0.53785,0.17953,0.0096416,0.0034233,0.0010617,0.00010833,2.17E-05,0,0,3.76E+07,9.40E+07,1.21E+08,1.39E+08,1.44E+08,1.41E+08,1.29E+08,1.07E+08,2.34E+10,5.1422,5.7473,5.8209,5.8354,5.7922,5.4616,5.4711,5.4082,5.051,64.433643,15.721936,6636,2.091266685,1.749890569,0.406769,1.17157876
10401,0.86028,0.89943,0.27269,0.53877,0.17307,0.01091,0.0034307,0.0010228,0.00010654,0,0,0,1.73E+07,7.47E+07,1.09E+08,1.30E+08,1.37E+08,1.34E+08,1.05E+08,8.12E+07,1.81E+10,4.8732,5.8113,5.5766,5.6435,5.3696,5.6099,5.4802,5.5866,5.0945,65.986851,15.454514,7091,2.245047765,1.831354319,0.410012,1.16860855
